railroadcode,railroadname,year,incidentnumber,incidentyear,incidentmonth,maintenanceincicidentrai,maintenancerailroadname,maintainenanceincidentnumber,maintenanceincidentyear,maintenanceincidentmonth,gradecrossingid,date,month,day,hour,minute,ampm,time,neareststation,division,countycode,countyname,statecode,statename,highwayname,publicprivatecode,publicprivate,highwayusercode,highwayuser,estimatedvehiclespeed,highwayuserpositioncode,highwayuserposition,equipmentinvolvedcode,equipmentinvolved,railroadcarunitposition,equipmentstruckcode,equipmentstruck,hazmatinvolvementcode,hazmatinvolvement,hazmatreleasedbycode,temperature,visibilitycode,visibility,weatherconditioncode,weathercondition,equipmenttypecode,equipmenttype,tracktypecode,tracktype,trackname,trackclass,numberoflocomotiveunits,numberofcars,trainspeed,estimatedrecordedspeedcode,traindirectioncode,traindirection,crossingwarningexpandedcode1,crossingwarningexpandedcode2,crossingwarningexpandedcode3,crossing_warning_expanded_code_12,crossingwarningexpanded1,crossingwarningexpanded2,crossingwarningexpanded3,crossing_warning_expanded_12,crossingwarningcode,crossingwarning,crossingwarninglocationcode,crossingwarninglocation,warningconnectedtosignal,crossingilluminated,viewobstructioncode,viewobstruction,userskilledforreportingr,usersinjuredforreporting,vehicledamagecost,numbervehicleoccupants,employeeskilledforreport,employeesinjuredforrepor,numberpeopleontrain,form54filed,passengerskilledforrepor,passengersinjuredforrepo,narrative,totalkilledform57,totalinjuredform57,railroadtype,railroadreporting,personskilledforreportin,totalinjuredform55a,district,whistlebancode,whistleban,reportkey,reporting_railroad_company_grouping,reporting_railroad_class,reporting_railroad_smt_grouping,reporting_parent_railroad_code,reporting_parent_railroad_name,reporting_railroad_holding_company,maintenance_railroad_grouping,maintenance_railroad_class,maintenance_railroad_smt_grouping,maintenance_parent_railroad_code,maintenance_parent_railroad_name,maintenance_railroad_holding_company,cityname,vehicledirectioncode,vehicledirection,userstruckbysecondtraincode,highwayuseractioncode,highwayuseraction,driverpassedvehicle,driverconditioncode,drivercondition,driverinvehicle,crossingwarningexpandedcode4,crossingwarningexpanded4,userage,usergender,crossingwarningexpandedcode5,crossingwarningexpanded5,hazmatreleasedby,subdivision,roadwayconditioncode,roadwaycondition,videotaken,videoused,crossingwarningexplanationcode,crossingwarningexplanation
LI,Long Island Rail Road,2009,GR20091201,09,12,LI,Long Island Rail Road,GR20091201,09,12,338331A,2009-12-14T00:00:00.000,12,14,09,49,PM,9:49 PM,SMITHTOWN,SYSTEM,103,SUFFOLK,36,NEW YORK,LANDING AVENUE,Y,Public,K,Pedestrian,0,2,Stopped on crossing,2,Train (units pushing),1,1,Rail equipment struck highway user,4,Neither,0,40.0,4,Dark,2,Cloudy,2,Passenger Train - Pulling,1,Main,PORT JEFF #1,4,1.0,4.0,35,E,4,West,1,3,6,7,Gates,Standard FLS,Audible,Crossbucks,1,Provided minimum 20-second warning,1,Both sides,No,Yes,8,Not obstructed,0.0,0.0,0.0,1.0,0.0,0.0,78,No,0.0,0.0,PEDESTRIAN INTENTIONALLY WALKED INTO PATH OF TRAIN AND STOOD ON CROSSING.,0.0,0.0,3L,1,0.0,0.0,1,2,No,LIGR20091201200912,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1977,NT770815,77,08,LI,Long Island Rail Road,NT770815,77,08,338216T,1977-08-22T00:00:00.000,08,22,07,27,AM,7:27 AM,RIVERHEAD,,103,SUFFOLK,36,NEW YORK,PRIVPH P CELIE PRIVA,N,Private,A,Auto,,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,70.0,2,Day,3,Rain,2,Passenger Train - Pulling,1,Main,MAIN TRACK,3,0.0,3.0,35,E,4,West,,,,12,,,,,,,,,,,8,Not obstructed,0.0,1.0,500.0,1.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,1.0,1L,1,0.0,1.0,1,,,LINT770815197708,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,AQUABOGUE,1,North,No,3,Did not stop,No,2,Injured,Yes,,,,,,,,,,,,,,
LI,Long Island Rail Road,1985,TS851201,85,12,LI,Long Island Rail Road,TS851201,85,12,338369W,1985-12-01T00:00:00.000,12,01,05,50,PM,5:50 PM,HEWLETT,,059,NASSAU,36,NEW YORK,WEST BROADWAY,Y,Public,A,Auto,0,1,Stalled or stuck on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,46.0,3,Dusk,3,Rain,2,Passenger Train - Pulling,1,Main,#1 FAR ROCKAWAY,4,4.0,0.0,25,E,3,East,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,No,Unknown,8,Not obstructed,0.0,0.0,0.0,0.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,0.0,3L,1,0.0,0.0,1,,,LITS851201198512,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,HEMPSTEAD,1,North,No,4,Stopped on crossing,No,3,Uninjured,No,,,,,,,,,,,,,,
LI,Long Island Rail Road,1985,TS851204,85,12,LI,Long Island Rail Road,TS851204,85,12,338143K,1985-12-12T00:00:00.000,12,12,04,45,PM,4:45 PM,MINEOLA,,059,NASSAU,36,NEW YORK,MAIN ST,Y,Public,K,Pedestrian,,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,46.0,3,Dusk,2,Cloudy,2,Passenger Train - Pulling,1,Main,#2 MAIN,4,2.0,8.0,65,E,3,East,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,Yes,Unknown,8,Not obstructed,1.0,0.0,0.0,0.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,1.0,0.0,3L,1,1.0,0.0,1,,,LITS851204198512,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,MINEOLA,1,North,No,4,Stopped on crossing,No,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1985,TS851208,85,12,LI,Long Island Rail Road,TS851208,85,12,338197R,1985-12-15T00:00:00.000,12,15,02,36,PM,2:36 PM,CALVERTON,,103,SUFFOLK,36,NEW YORK,RIVER RD,Y,Public,A,Auto,,3,Moving over crossing,1,Train (units pulling),1,2,Rail equipment struck by highway user,4,Neither,,34.0,2,Day,1,Clear,2,Passenger Train - Pulling,1,Main,#1 MAIN,3,2.0,5.0,30,E,4,West,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,No,No,8,Not obstructed,0.0,1.0,0.0,1.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,1.0,3L,1,0.0,1.0,1,,,LITS851208198512,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,RIVERHEAD,1,North,No,1,Went around the gate,No,2,Injured,Yes,,,,,,,,,,,,,,
LI,Long Island Rail Road,1985,TS851210,85,12,LI,Long Island Rail Road,TS851210,85,12,338139V,1985-12-28T00:00:00.000,12,28,04,18,AM,4:18 AM,FLORAL PARK,,059,NASSAU,36,NEW YORK,COVERT AVE,Y,Public,A,Auto,,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,34.0,4,Dark,1,Clear,2,Passenger Train - Pulling,1,Main,#3 MAIN,4,10.0,0.0,30,E,4,West,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,Yes,No,8,Not obstructed,0.0,0.0,0.0,1.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,0.0,3L,1,0.0,0.0,1,,,LITS851210198512,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,NEW HYDE PARK,1,North,Yes,1,Went around the gate,No,3,Uninjured,Yes,,,,,,,,,,,,,,
LI,Long Island Rail Road,1985,TS851103,85,11,LI,Long Island Rail Road,TS851103,85,11,338341F,1985-11-08T00:00:00.000,11,08,06,28,PM,6:28 PM,STONY BROOK,,103,SUFFOLK,36,NEW YORK,COMSEQUAQGUE ROAD,Y,Public,A,Auto,0,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,54.0,4,Dark,1,Clear,2,Passenger Train - Pulling,1,Main,#1 PORT JEFFERSON,4,1.0,10.0,30,E,3,East,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,No,No,8,Not obstructed,0.0,0.0,0.0,0.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,0.0,3L,1,0.0,0.0,1,,,LITS851103198511,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,BROOKHAVEN,,,No,4,Stopped on crossing,No,3,Uninjured,No,,,,,,,,,,,,,,
LI,Long Island Rail Road,1985,TS851007,85,10,LI,Long Island Rail Road,TS851007,85,10,338141W,1985-10-28T00:00:00.000,10,28,08,19,PM,8:19 PM,NEW HYDE PARK,,059,NASSAU,36,NEW YORK,NEW HYDE PARK RD,Y,Public,A,Auto,5,3,Moving over crossing,1,Train (units pulling),1,2,Rail equipment struck by highway user,4,Neither,,40.0,4,Dark,1,Clear,2,Passenger Train - Pulling,1,Main,#1 MAIN,4,4.0,0.0,40,E,4,West,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,Yes,Unknown,8,Not obstructed,0.0,0.0,0.0,2.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,0.0,3L,1,0.0,0.0,1,,,LITS851007198510,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,HYDE PARK,2,South,No,1,Went around the gate,No,3,Uninjured,Yes,,,,,,,,,,,,,,
LI,Long Island Rail Road,1985,TS851008,85,10,LI,Long Island Rail Road,TS851008,85,10,338007K,1985-10-25T00:00:00.000,10,25,01,49,AM,1:49 AM,LINDENHURST,,103,SUFFOLK,36,NEW YORK,GRAND AVE,Y,Public,A,Auto,0,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,50.0,4,Dark,1,Clear,2,Passenger Train - Pulling,1,Main,#1 CENTRAL,4,1.0,7.0,30,E,3,East,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,No,No,8,Not obstructed,0.0,0.0,0.0,0.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,0.0,3L,1,0.0,0.0,1,,,LITS851008198510,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,LINDENHURST,1,North,No,4,Stopped on crossing,No,,,No,,,,,,,,,,,,,,
LI,Long Island Rail Road,1985,TS850802,85,08,LI,Long Island Rail Road,TS850802,85,08,338142D,1985-08-11T00:00:00.000,08,11,04,02,PM,4:02 PM,MINEOLA,,059,NASSAU,36,NEW YORK,HERRICKS RD,Y,Public,K,Pedestrian,0,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,84.0,2,Day,1,Clear,2,Passenger Train - Pulling,1,Main,#1 MAIN,4,2.0,5.0,30,E,4,West,1,3,6,7,Gates,Standard FLS,Audible,Crossbucks,1,Provided minimum 20-second warning,1,Both sides,No,Yes,8,Not obstructed,0.0,0.0,0.0,0.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,0.0,3L,1,0.0,0.0,1,,,LITS850802198508,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,MINEOLA,1,North,No,4,Stopped on crossing,No,,,Yes,,,,,,,,,,,,,,
