revisiondate,reportingagencytypecode,reportingagencytype,reasoncode,reasondescription,crossingid,crossingidsuffix,reportingagencycode,reportingagencyname,statecode,statename,countycode,countyname,innearcode,innear,citycode,cityname,citydescription,street,highwayname,separatetrack,sametrack,branchname,railroadmilepostnumber,linesegment,nearesttimetablestation,timetablestation,crossingtypecode,crossingtype,crossingpurposecode,crossingpurpose,crossingpositioncode,crossingposition,numberpassengertrainperday,developmenttypecode,developmenttype,totaldaylightthrutrains,totalnighttimethrutrains,totalswitchingtrains,maximumtimetablespeed,minimumspeedrangeovercrossing,maximumspeedrangeovercrossing,numberofmaintracks,traindetectionids,traindetectionid1,traindetection1,tracksignaled,signsorsignals,numbercrossbuckassemblies,numberstopsigns,advancewarnings,advancewarning1,advancewarningtext1,pavementmarkingids,pavementmarkingid1,pavementmarking,othermutcdsigns,countroadwaygatearms,countcantileveredstructu,countcantileveredstructu_1,countmastmountedflashinglight,countflashinglightpair,highwaytrafficsignal,numberofbells,countotherflashinglights,trafficlane,highwaypaved,trackrundownstreet,crossingsurfaceids,crossingsurfaceid1,crossingsurfacedescription1,highwaynear,smallestcrossinganglecode,smallestcrossingangle,highwaysystemcode,highwaysystem,roadatcrossingcode,roadatcrossing,roadatcrossingtypecode,roadatcrossingtype,crossingonstatehighwaysystem,annualaveragedailytrafficcount,estimatedpercenttrucks,schoolbusroute,schoolbusaveragecount,reporttype,crossingclosed,reportstatus,railroadcode,class,railroadcompanygrouping,smtgrouping,parentrailroadcompanycode,parentrailroadcompanyname,holdingcompany,intersectingroadwaydistance,numberofsidingtracks,latitude,longitude,privatecrossingsigns,annualaveragedailytrafficyear,pavementmarkingid2,pavementmarking2,railroadmilepostprefix,otherflashinglightstype,railroaddivision,whistlebancode,whistleban,latlongsourcecode,latlongsource,statecontacttelephonenumber,adjacentcrossing,enssigndisplayed,nearbyhighwaytrafficsignals,crossingilluminated,railroadsubdivision,highwaytrafficsignalinte,highwaytrafficsignalinte_1,highwaytrafficsignalpree,highwaytrafficsignalpreemption,sametrackrailroad1,exemptsigns,numberothermutcdsigns1,numberothermutcodesigns2,typeoftrainserviceids,typeoftrainserviceid1,typeoftrainservice1,separatetrackrailroad1,emergencytelephonenumber,railroadcontacttelephonenumber,lowgroundclearancesigns,channeldevicemediancode,channeldevicemedian,highwayspeedlimit,highwayspeedlimittypecode,highwayspeedlimittype,rrnarrative,stnarrative,gateconfigurationcode,gateconfiguration,othermutcdsignstype1,othermutcdsignstype2,adjacentcrossingnumber,publicaccess,othermutcdsignstypetext2,othercrossingsurface,numberofyardtracks,parentrailroadcode,crossingownercode,typeoftrainserviceid2,typeoftrainservice2,lessthanonepassengertrai,hsrcorridorid,totaltransittrains,movementsperdaycode,movementsperday,trainsperyear,numberoftransittracks,numberofindistrytracks,eventrecorder,remotehealthmonitoring,countpedestriangatearms,mastmountedflashingblacklight,mastmountedflashingsidelight,nontrainactivewarningcode,nontrainactivewarning,trafficlanetypecode,trafficlanetypedescription,trainsperweek,mastmountedflashinglight,mastmountedflashinglighttype,traindetectionid2,traindetection2,typeoftrainserviceid3,typeoftrainservice3,installationdateactivewa,traindetectionid3,traindetection3,numberyieldsigns,othermutcdsignstypetext1,highwaymonitoringdevicescode,highwaymonitoringdevices,emergencyservicesroute,countadvw10_1,numberlowgroundclearancesigns,highwaytrafficpresignals,cantileveredtypestructurecode,cantileveredtypestructure,advancewarning2,advancewarningtext2,countadvw10_2,countadvw10_11,storagedistance,countadvw10_3,waysidehorn,numberothermutcdsigns3,othermutcdsignstype3,othermutcdsignstypetext3,gateconftype,gateconfigurationtype,crossingsurfaceid2,crossingsurfacedescription2,crossingsurfaceid3,crossingsurfacedescription3,blocknumber,ledenhancedsigns,pavementmarkingid3,pavementmarking3
1970-01-01,1,Railroad,15,New Crossing,338001U,LI,LI,Long Island Rail Road,36,NEW YORK,36059,NASSAU,0,In,360591960,FARMINGDALE,"FARMINGDALE City, NASSAU County, NEW YORK State",SOUTH MAIN ST.,C110,No,No,CENTRAL BRANCH,0030.15,379,BETHPAGE,179215,3,Public,1,Highway,1,At Grade,0.0,13,Commercial,11.0,6.0,5.0,65.0,30.0,65.0,1.0,18,18,DC,Yes,Yes,0.0,0.0,0,0,None,1,1,Stop lines,No,2.0,0.0,0.0,2.0,0.0,No,1.0,0.0,2,Yes,No,12,12,Asphalt,No,3,60-90,3,"(03) Federal Aid, Not NHS",1,(1) Urban,16,(4) Minor Arterial,No,8100,15,No,0.0,Major,No,Expired,LI,Class 3,Not Applicable,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,1,Railroad,15,New Crossing,338019E,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,0,In,361030660,BRIGHTWATERS,"BRIGHTWATERS City, SUFFOLK County, NEW YORK State",WINDSOR AVE.,,No,No,MONTAUK,0039.21,,BAY SHORE,179572,3,Public,1,Highway,1,At Grade,0.0,13,Commercial,21.0,25.0,4.0,65.0,40.0,65.0,2.0,18,18,DC,Yes,Yes,0.0,0.0,0,0,None,0,0,None,No,4.0,0.0,0.0,2.0,0.0,No,1.0,0.0,2,Yes,No,16,16,Rubber,Yes,3,60-90,8,(08) Non-Federal Aid,1,(1) Urban,19,(7) Local,No,750,11,No,0.0,Major,No,Expired,LI,Class 3,Not Applicable,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,1,Railroad,15,New Crossing,338027W,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,1,Near,361032920,ISLIP,"ISLIP City, SUFFOLK County, NEW YORK State",PENTAQUIT ST.,,No,No,MONTAUK,0040.79,,BAY SHORE,179572,3,Public,1,Highway,1,At Grade,0.0,12,Residential,21.0,25.0,4.0,65.0,15.0,65.0,2.0,18,18,DC,Yes,Yes,0.0,0.0,0,0,None,0,0,None,No,4.0,0.0,0.0,2.0,0.0,No,1.0,0.0,2,Yes,No,16,16,Rubber,No,3,60-90,8,(08) Non-Federal Aid,1,(1) Urban,19,(7) Local,No,3000,11,No,0.0,Major,No,Expired,LI,Class 3,Not Applicable,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,1,Railroad,15,New Crossing,338038J,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,1,Near,361032920,ISLIP,"ISLIP City, SUFFOLK County, NEW YORK State",GREELEY AVE.,,No,No,MONTAUK,0049.03,,SAYVILLE,179594,3,Public,1,Highway,1,At Grade,0.0,13,Commercial,21.0,25.0,4.0,65.0,5.0,65.0,2.0,18,18,DC,Yes,Yes,0.0,0.0,0,0,None,0,0,None,No,2.0,0.0,0.0,2.0,0.0,No,1.0,0.0,2,Yes,No,16,16,Rubber,Yes,3,60-90,8,(08) Non-Federal Aid,1,(1) Urban,19,(7) Local,No,3000,11,No,0.0,Major,No,Expired,LI,Class 3,Not Applicable,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,1,Railroad,15,New Crossing,338046B,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,1,Near,361032920,ISLIP,"ISLIP City, SUFFOLK County, NEW YORK State",GILETTE AVE,,No,No,MONTAUK,0051.36,,,179573,3,Public,1,Highway,1,At Grade,0.0,12,Residential,21.0,25.0,4.0,65.0,40.0,65.0,1.0,18,18,DC,Yes,Yes,0.0,0.0,0,0,None,2,2,RR Xing Symbols,No,2.0,0.0,0.0,2.0,0.0,No,1.0,0.0,2,Yes,No,12,12,Asphalt,Yes,3,60-90,8,(08) Non-Federal Aid,1,(1) Urban,19,(7) Local,No,750,11,No,0.0,Major,No,Expired,LI,Class 3,Not Applicable,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,1,Railroad,15,New Crossing,338053L,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,1,Near,361030705,BROOKHAVEN,"BROOKHAVEN City, SUFFOLK County, NEW YORK State",EVERGREEN AVE.,,No,No,MONTAUK,0053.87,,PATCHOGUE,179591,3,Public,1,Highway,1,At Grade,0.0,13,Commercial,12.0,8.0,4.0,65.0,45.0,65.0,1.0,18,18,DC,No,Yes,0.0,0.0,0,0,None,2,2,RR Xing Symbols,No,2.0,0.0,0.0,2.0,0.0,No,1.0,0.0,2,Yes,No,12,12,Asphalt,Yes,3,60-90,8,(08) Non-Federal Aid,1,(1) Urban,19,(7) Local,No,250,11,No,0.0,Major,No,Expired,LI,Class 3,Not Applicable,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,1,Railroad,15,New Crossing,338064Y,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,1,Near,361030705,BROOKHAVEN,"BROOKHAVEN City, SUFFOLK County, NEW YORK State",ARTHUR AVE.,,No,No,MONTAUK,0057.74,,BROOKHAVEN,179613,3,Public,1,Highway,1,At Grade,0.0,13,Commercial,12.0,8.0,2.0,65.0,45.0,65.0,1.0,18,18,DC,No,Yes,0.0,0.0,0,0,None,2,2,RR Xing Symbols,No,2.0,0.0,0.0,2.0,0.0,No,1.0,0.0,2,Yes,No,12,12,Asphalt,Yes,3,60-90,8,(08) Non-Federal Aid,1,(1) Urban,17,(5) Major Collector,No,250,13,No,0.0,Major,No,Expired,LI,Class 3,Not Applicable,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,1,Railroad,15,New Crossing,338071J,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,1,Near,361030705,BROOKHAVEN,"BROOKHAVEN City, SUFFOLK County, NEW YORK State",CEDAR ST.,,No,No,MONTAUK,0063.85,,,179623,3,Public,1,Highway,1,At Grade,0.0,12,Residential,12.0,8.0,2.0,45.0,5.0,45.0,1.0,18,18,DC,No,Yes,0.0,0.0,0,0,None,2,2,RR Xing Symbols,No,2.0,0.0,0.0,2.0,0.0,No,1.0,0.0,2,Yes,No,12,12,Asphalt,Yes,3,60-90,8,(08) Non-Federal Aid,1,(1) Urban,19,(7) Local,No,250,11,No,0.0,Major,No,Expired,LI,Class 3,Not Applicable,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,1,Railroad,15,New Crossing,338080H,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,1,Near,361030705,BROOKHAVEN,"BROOKHAVEN City, SUFFOLK County, NEW YORK State",SE TUCK RD,,No,No,MONTAUK,0069.06,,SPEONK,179666,3,Public,1,Highway,1,At Grade,0.0,13,Commercial,12.0,8.0,2.0,45.0,30.0,45.0,1.0,18,18,DC,No,Yes,0.0,0.0,0,0,None,2,2,RR Xing Symbols,No,2.0,0.0,0.0,2.0,0.0,No,1.0,0.0,2,Yes,No,12,12,Asphalt,Yes,3,60-90,8,(08) Non-Federal Aid,0,(0) Rural,19,(7) Local,No,250,7,No,0.0,Major,No,Expired,LI,Class 3,Not Applicable,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,75.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01,1,Railroad,15,New Crossing,338092C,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,0,In,361035070,QUOGUE,"QUOGUE City, SUFFOLK County, NEW YORK State",OLD QUOGUE-RVHD,,No,No,MONTAUK,0075.88,,WESTHAMPTON,179667,3,Public,1,Highway,1,At Grade,0.0,12,Residential,3.0,10.0,2.0,30.0,1.0,30.0,1.0,18,18,DC,No,Yes,0.0,0.0,0,0,None,2,2,RR Xing Symbols,No,2.0,0.0,0.0,2.0,0.0,No,1.0,0.0,2,Yes,No,12,12,Asphalt,Yes,3,60-90,8,(08) Non-Federal Aid,0,(0) Rural,19,(7) Local,No,250,7,No,0.0,Major,No,Expired,LI,Class 3,Not Applicable,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
