reportingrailroadcode,reportingrailroadname,report_year,incidentnumber,accidentyear,accidentmonth,maintenancerailroadcode,maintenancerailroadname,maintenanceaccidentnumber,maintenanceaccidentyear,maintenanceaccidentmonth,day,date,time,accident_type_code,accidenttype,hazmatcars,hazmatcarsdamaged,hazmatreleasedcars,personsevacuated,divisioncode,division,station,milepost,statecode,stateabbr,statename,countycode,countyname,district,temperature,visibilitycode,visibility,weather_condition_code,weathercondition,track_type_code,tracktype,trackname,trackclass,train_direction_code,traindirection,equipment_type_code,equipmenttype,equipmentattended,trainnumber,trainspeed,recordedestimatedspeed,maximumspeed,grosstonnage,method_of_operation_code,firstcarinitials,firstcarnumber,firstcarposition,firstcarloaded,causingcarinitials,causingcarnumber,causingcarposition,causingcarloaded,passengerstransported,headendlocomotives,midtrainmanuallocomotives,midtrainremotelocomotives,rearendmanuallocomotives,rearendremotelocomotives,derailedheadendlocomotives,derailedmidtrainmanuallo,derailedmidtrainremotelo,derailedrearendmanualloc,derailedrearendremoteloc,loadedfreightcars,loadedpassengercars,emptyfreightcars,emptypassengercars,cabooses,derailedloadedfreightcars,derailedloadedpassengercars,derailedemptyfreightcars,derailedemptypassengercars,derailedcabooses,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,primaryaccidentcause,accidentcausecode,accidentcause,engineersonduty,conductorsonduty,brakemenonduty,hoursengineersonduty,minutesengineersonduty,hoursconductorsonduty,minutesconductorsonduty,railroademployeeskilled,railroademployeesinjured,passengerskilled,passengersinjured,otherskilled,othersinjured,personskilledforreportin,personsinjuredforreporti,totalpersonskilled,totalpersonsinjured,totalkilledform54,totalinjuredform54,narrative,jointtracktype,jointtrackclass,classcode,class,jointcd,incidentkey,reportkey,reporting_railroad_company_grouping,reporting_railroad_class,reporting_railroad_smt_grouping,reporting_parent_railroad_company_code,reporting_parent_railroad_company_name,reporting_railroad_holding_company,maintenance_railroad_company_grouping,maintenance_railroad_class,maintenance_railroad_smt_grouping,maintenance_parent_railroad_company_code,maintenance_parent_railroad_company_name,maintenance_railroad_holding_company,trackdensity,firemenonduty,gxid,contributingaccidentcausecode,contributingaccidentcause,subdivision,signalization_code,signalization,methodofoperation,adjunct_1,adjunctcode1,remote_control_locomotive_code,remotecontrollocomotive,specialstudy1,latitude,longitude,adjunct_2,adjunctcode2,positivealcoholtests,positivedrugtests,specialstudy2,adjunct_3,adjunctcode3,otherrailroadcode,otherrailroadname,otheraccidentnumber,accidentyearother,accidentmonthother,other_railroad_company_grouping,other_railroad_class,other_railroad_smt_grouping,other_parent_railroad_company_code,other_parent_railroad_company_name,other_railroad_holding_company
LI,Long Island Rail Road,1998,EQ981102,98,11,LI,Long Island Rail Road,EQ981102,98,11,10,1998-11-10,10:46 PM,11,Fire/violent rupture,0.0,0.0,0.0,0.0,SYSTEM,SYSTEM,LAWRENCE,19,36,NY,NEW YORK,59,NASSAU,1,40.0,4,Dark,1,Clear,1,Main,FAR ROCKAWAY 1,3,4,West,2,Passenger Train - Pulling,Yes,2875,55,Estimated,55,0.0,ADGIM,LI,009210,6,Yes,LI,009210,6,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,E99C,"Other mechanical and electrical failures, (CAR) (Provide detailed description in narrative)",E99C,"Other mechanical and electrical failures, (CAR) (Provide detailed description in narrative)",1,1,1,5,47,5,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRAIN 2875 WAS PROCEEDING WESTEWARD BETWEEN LAWERANCE AND CEDARHURST STATION ON THE FAR ROCKAWAY BRANCH WHEN ELECTRICAL FIRE HAD DEVELOPED UNDER THE MU CAR NUMBER 9210.  THE CAUSE OF THE FIRE WAS DETERMINDEED TO BE A CARBONZED DC ELECTRIC TRACTION SHOE BEAM.  THE ELECTRICAL FIRE  RESULTED IN DAMAGETO MU CAR NUMBER 9210.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Main,3,3L,3L,1,LIEQ981102199811,LIEQ981102199811,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1998,EQ981102,98,11,LI,Long Island Rail Road,EQ981102,98,11,10,1998-11-10,10:46 PM,11,Fire/violent rupture,0.0,0.0,0.0,0.0,SYSTEM,SYSTEM,LAWRENCE,19,36,NY,NEW YORK,59,NASSAU,1,40.0,4,Dark,1,Clear,1,Main,FAR ROCKAWAY 1,3,4,West,2,Passenger Train - Pulling,Yes,2875,55,Estimated,55,0.0,ADGIM,LI,009210,6,Yes,LI,009210,6,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,E99C,"Other mechanical and electrical failures, (CAR) (Provide detailed description in narrative)",E99C,"Other mechanical and electrical failures, (CAR) (Provide detailed description in narrative)",1,1,1,5,47,5,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRAIN 2875 WAS PROCEEDING WESTEWARD BETWEEN LAWERANCE AND CEDARHURST STATION ON THE FAR ROCKAWAY BRANCH WHEN ELECTRICAL FIRE HAD DEVELOPED UNDER THE MU CAR NUMBER 9210.  THE CAUSE OF THE FIRE WAS DETERMINDEED TO BE A CARBONZED DC ELECTRIC TRACTION SHOE BEAM.  THE ELECTRICAL FIRE  RESULTED IN DAMAGETO MU CAR NUMBER 9210.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Main,3,3L,3L,1,LIEQ981102199811,LIEQ981102199811,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1998,EQ981101,98,11,LI,Long Island Rail Road,EQ981101,98,11,01,1998-11-01,7:10 PM,11,Fire/violent rupture,0.0,0.0,0.0,0.0,SYSTEM,SYSTEM,RIVERHEAD,68,36,NY,NEW YORK,103,SUFFOLK,1,50.0,4,Dark,1,Clear,1,Main,MAIN LINE,3,4,West,2,Passenger Train - Pulling,Yes,6203,40,Estimated,40,0.0,IMO,LI,000611,1,No,,,0,,Yes,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14944.0,0.0,14944.0,E99L,"Other mechanical and electrical failures, (LOCOMOTIVE) (Provide detailed description in narrative)",E99L,"Other mechanical and electrical failures, (LOCOMOTIVE) (Provide detailed description in narrative)",1,1,1,8,59,8,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"TRAIN 6203 WAS PROCEEDED WESTWARD ON SINGLE MAN TRACK, GOVERNED UNDER MANUAL BLOCK RULES, ON THE MAIN LINE TRACK AT THE CALVERTON STATION, WHEN AN ELECTRICAL FIRE INSIDE THE ENGINE COMPARTMENT OF POWER UNIT 611 HAD DEVELOPED.  THE CAUSE OF THE FIRE WAS DETEMINED TO BE ELECTRICAL MALFUNCTION OF THE ALTERNATOR INSIDE THE ENGINE COMPARTMENT OF POWER 611.  THE FIRE AND SMOKE RESULTED IN DAMAGE TO EQUIPMENT POWER UNIT 611.NoneNoneNoneNoneNoneNoneNoneNoneNoneNone",Main,3,3L,3L,1,LIEQ981101199811,LIEQ981101199811,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1998,EQ980906,98,09,LI,Long Island Rail Road,EQ980906,98,09,13,1998-09-13,4:30 AM,11,Fire/violent rupture,0.0,0.0,0.0,0.0,SYSTEM,SYSTEM,CENTRAL ISLIP,43.7,36,NY,NEW YORK,103,SUFFOLK,1,60.0,4,Dark,1,Clear,1,Main,MAIN LINE,4,4,West,2,Passenger Train - Pulling,Yes,8005,0,Recorded,0,0.0,ADFIM,LI,009724,4,Yes,LI,009724,4,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,69825.0,0.0,69825.0,E99C,"Other mechanical and electrical failures, (CAR) (Provide detailed description in narrative)",E99C,"Other mechanical and electrical failures, (CAR) (Provide detailed description in narrative)",1,1,1,3,49,3,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THE CREW WESTBOUND PASSENGER TRAIN NUMBER 8005 REPORTED ARCING AND FIRE WHILE STOPPED AT CENTRAL ISLIP STATION.  THE CAUSE OF THE FIRE WAS DETERMINED TO BE ELECTRICAL/MECHANICAL FAILURE OF MU CAR NUMBER 9724.   THE FIRE RESULTED IN DAMAGE TO THE UNDERCARAGE AND TRUCK OF MU CAR 9724.  NO INJURIES WERE REPORTED RELATED TO THIS INCIDENT.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Main,4,3L,3L,1,LIEQ980906199809,LIEQ980906199809,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1998,EQ980906,98,09,LI,Long Island Rail Road,EQ980906,98,09,13,1998-09-13,4:30 AM,11,Fire/violent rupture,0.0,0.0,0.0,0.0,SYSTEM,SYSTEM,CENTRAL ISLIP,43.7,36,NY,NEW YORK,103,SUFFOLK,1,60.0,4,Dark,1,Clear,1,Main,MAIN LINE,4,4,West,2,Passenger Train - Pulling,Yes,8005,0,Recorded,0,0.0,ADFIM,LI,009724,4,Yes,LI,009724,4,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,69825.0,0.0,69825.0,E99C,"Other mechanical and electrical failures, (CAR) (Provide detailed description in narrative)",E99C,"Other mechanical and electrical failures, (CAR) (Provide detailed description in narrative)",1,1,1,3,49,3,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THE CREW WESTBOUND PASSENGER TRAIN NUMBER 8005 REPORTED ARCING AND FIRE WHILE STOPPED AT CENTRAL ISLIP STATION.  THE CAUSE OF THE FIRE WAS DETERMINED TO BE ELECTRICAL/MECHANICAL FAILURE OF MU CAR NUMBER 9724.   THE FIRE RESULTED IN DAMAGE TO THE UNDERCARAGE AND TRUCK OF MU CAR 9724.  NO INJURIES WERE REPORTED RELATED TO THIS INCIDENT.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Main,4,3L,3L,1,LIEQ980906199809,LIEQ980906199809,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1998,EQ980902,98,09,LI,Long Island Rail Road,EQ980902,98,09,04,1998-09-04,5:05 PM,01,Derailment,0.0,0.0,0.0,0.0,SYSTEM,SYSTEM,PATCHOGUE,53.9,36,NY,NEW YORK,103,SUFFOLK,1,70.0,2,Day,1,Clear,3,Siding,NORTH TRACK,1,4,West,7,Yard/switching,Yes,5761,5,Estimated,5,0.0,FIM,LI,000259,1,No,,,0,,No,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,194481.0,195096.0,H307,"Shoving movement, man on or at leading end of movement, failure to control",H307,"Shoving movement, man on or at leading end of movement, failure to control",1,1,1,3,8,2,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"WHILE MAKING A SHOVING MOVE THE CONDUCTOR ON THE LEADING END OF THE MOVEMENT FAILED TO CONTROL THE MOVE AND THE TRAIN CONTINUED TO PROCEED WESTWARD.  ENGINE 259 ON THE WEST END OF THE CONSIST WAS MOVED OVER DERAILER RESULTING IN THE DERAILMENT OF ENGINE 259, DAMAGE TO RAILROAD PROPERTY AND LEAKAGE OF 2400 GALLONS OF DIESEL FUEL DUE TO DERAILER PUNCTURING FUEL IN TANK.  NO INJURIES WERE REPORTED ASA RESULT OF THIS INCIDENT.NoneNoneNoneNoneNoneNoneNoneNoneNoneNone",Siding,1,3L,3L,1,LIEQ980902199809,LIEQ980902199809,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1998,EQ980601,98,06,LI,Long Island Rail Road,EQ980601,98,06,08,1998-06-08,4:15 AM,13,Other (describe in narrative),0.0,0.0,0.0,0.0,SYSTEM,SYSTEM,LONG BEACH,23.1,36,NY,NEW YORK,59,NASSAU,1,55.0,4,Dark,1,Clear,2,Yard,TRACK 9,1,4,West,7,Yard/switching,Yes,809,0,,5,0.0,MN,LI,009359,1,No,,,0,,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,23454.0,0.0,46908.0,H999,Other train operation/human factors (Provide detailed description in narrative),H999,Other train operation/human factors (Provide detailed description in narrative),1,,,3,45,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THE EQUIPMENT OF TRAIN 809 WAS MOVED WESTWARD ON 9 YARD TRACK LONG BEACH YARD AND WAS STANDING WESTOF CLEARANCE MARKER FOR 10 TRACK.  A YARD DRILL CREW MOVED EQUIPMENT EASTWARD INTO 10 TRACK AND STRUCK THE EQUIPMENT THAT WAS STANDING IN A FOULING POSITION ON 9 TRACK.  THE DRILL CREW ENGINEER WAS CHARGED AND RECEIVED DISCIPLINE FOR THE HUMAN FACTOR INVOLVEMENT.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Yard,1,3L,3L,1,LIEQ980601199806,LIEQ980601199806,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1998,EQ980601,98,06,LI,Long Island Rail Road,EQ980601,98,06,08,1998-06-08,4:15 AM,13,Other (describe in narrative),0.0,0.0,0.0,0.0,SYSTEM,SYSTEM,LONG BEACH,23.1,36,NY,NEW YORK,59,NASSAU,1,55.0,4,Dark,1,Clear,2,Yard,10 TRACK,1,3,East,7,Yard/switching,Yes,DRIL,5,Estimated,5,0.0,MN,LI,009048,1,No,,,0,,No,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,23454.0,0.0,46908.0,H999,Other train operation/human factors (Provide detailed description in narrative),H999,Other train operation/human factors (Provide detailed description in narrative),1,1,1,1,29,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THE EQUIPMENT OF TRAIN 809 WAS MOVED WESTWARD ON 9 TRACK AT LONG BEACH YARD AND WAS STANDING WEST OFTHE CLEARANCE MARKER FOR 10 TRACK.  A YARD DRILL CREW MOVED EQUIPMENT EASTWARD INTO 10 TRACK AND STRUCK THE EQUIPMENT STANDING IN A FOULING POSITION ON 9 TRACK.  THE DRILL CREW ENGINEER WAS CHARGED AND RECEIVED DISCIPLINE FOR THE HUMAN FACTOR INVOLVEMENT.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Yard,1,3L,3L,3,LIEQ980601199806,LIEQ980601199806,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1998,EQ980403,98,04,LI,Long Island Rail Road,EQ980403,98,04,07,1998-04-07,8:41 PM,01,Derailment,0.0,0.0,0.0,0.0,SYSTEM,SYSTEM,LONG BEACH,22.2,36,NY,NEW YORK,59,NASSAU,1,48.0,4,Dark,2,Cloudy,2,Yard,5/7 DIVIDER,6,3,East,2,Passenger Train - Pulling,Yes,884,5,Recorded,5,0.0,AIMN,LI,009907,4,Yes,,,0,,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,136.0,7075.0,7211.0,T104,Disturbed ballast section,T104,Disturbed ballast section,1,1,,5,37,5,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"AS TRAIN 884, CONSISTING OF 10 MULTIPLE UNIT (MU) CARS, BOTH M1 AND M3 UNITS, TRAVERSED THE 5/7DIVIDER SWITCH, THE B -END OF THE 4TH CAR (#9907) DERAILED.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone",Yard,6,3L,3L,1,LIEQ980403199804,LIEQ980403199804,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1998,EQ980403,98,04,LI,Long Island Rail Road,EQ980403,98,04,07,1998-04-07,8:41 PM,01,Derailment,0.0,0.0,0.0,0.0,SYSTEM,SYSTEM,LONG BEACH,22.2,36,NY,NEW YORK,59,NASSAU,1,48.0,4,Dark,2,Cloudy,2,Yard,5/7 DIVIDER,6,3,East,2,Passenger Train - Pulling,Yes,884,5,Recorded,5,0.0,AIMN,LI,009907,4,Yes,,,0,,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,136.0,7075.0,7211.0,T104,Disturbed ballast section,T104,Disturbed ballast section,1,1,,5,37,5,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"AS TRAIN 884, CONSISTING OF 10 MULTIPLE UNIT (MU) CARS, BOTH M1 AND M3 UNITS, TRAVERSED THE 5/7DIVIDER SWITCH, THE B -END OF THE 4TH CAR (#9907) DERAILED.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone",Yard,6,3L,3L,1,LIEQ980403199804,LIEQ980403199804,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
