railroadcode,railroadname,reportmonth,reportyear,statecode,statename,countycode,countyname,freighttrainmiles,passengertrainmiles,yardswitchingmiles,othertrainmiles,totalmiles,employeemanhours,passengermiles,passengerstransported,locomotivetrainmiles,motortrainmiles,railroadtype,district,railroad_grouping,railroad_smt_grouping,railroad_class,parent_railroad_code,parent_railroad_name,railroad_holding_company,report_key,narrative
LI,Long Island Rail Road,01,1991,36,NEW YORK,81,QUEENS,0.0,0.0,9604.0,0.0,695234.0,1126600.0,166380925.0,5992008.0,142730.0,542900.0,3L,1,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",Class 3,LI,Long Island Rail Road,Not Assigned,LI011991,
LI,Long Island Rail Road,02,1991,36,NEW YORK,81,QUEENS,0.0,0.0,8484.0,0.0,614084.0,927260.0,152796091.0,5564345.0,127500.0,478100.0,3L,1,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",Class 3,LI,Long Island Rail Road,Not Assigned,LI021991,
LI,Long Island Rail Road,03,1991,36,NEW YORK,81,QUEENS,0.0,0.0,9406.0,0.0,680906.0,1051225.0,145981380.0,5404569.0,141300.0,530200.0,3L,1,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",Class 3,LI,Long Island Rail Road,Not Assigned,LI031991,
LI,Long Island Rail Road,04,1991,36,NEW YORK,81,QUEENS,0.0,0.0,9366.0,0.0,677966.0,1063889.0,168561124.0,5984889.0,139700.0,528900.0,3L,1,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",Class 3,LI,Long Island Rail Road,Not Assigned,LI041991,
LI,Long Island Rail Road,05,1991,36,NEW YORK,81,QUEENS,0.0,0.0,9573.0,0.0,692973.0,952317.0,170508490.0,6146835.0,140100.0,543300.0,3L,1,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",Class 3,LI,Long Island Rail Road,Not Assigned,LI051991,
LI,Long Island Rail Road,06,1991,36,NEW YORK,81,QUEENS,0.0,0.0,9572.0,0.0,692872.0,1006029.0,164610182.0,5870451.0,167600.0,515700.0,3L,1,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",Class 3,LI,Long Island Rail Road,Not Assigned,LI061991,
LI,Long Island Rail Road,07,1991,36,NEW YORK,81,QUEENS,0.0,0.0,9800.0,0.0,709400.0,1213589.0,173765861.0,6143192.0,149300.0,550300.0,3L,1,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",Class 3,LI,Long Island Rail Road,Not Assigned,LI071991,
LI,Long Island Rail Road,08,1991,36,NEW YORK,81,QUEENS,0.0,0.0,9777.0,0.0,707777.0,1111403.0,173029287.0,6012427.0,148100.0,549900.0,3L,1,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",Class 3,LI,Long Island Rail Road,Not Assigned,LI081991,
LI,Long Island Rail Road,09,1991,36,NEW YORK,81,QUEENS,0.0,0.0,9247.0,0.0,669347.0,1177920.0,148640980.0,5707617.0,138900.0,521200.0,3L,1,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",Class 3,LI,Long Island Rail Road,Not Assigned,LI091991,
LI,Long Island Rail Road,10,1991,36,NEW YORK,81,QUEENS,0.0,0.0,9713.0,0.0,703113.0,1163271.0,173365264.0,6298984.0,144300.0,549100.0,3L,1,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",Class 3,LI,Long Island Rail Road,Not Assigned,LI101991,
